Abyssinian OR(Cat;Kitten;rare)
American Bobtail OR(Cat;Kitten;rare)
American Shorthair OR(Cat;Kitten;rare)
Balinese OR(Cat;Kitten;rare)
Bengal OR(Cat;Kitten;rare)
Birman OR(Cat;Kitten;rare)
British Shorthair OR(Cat;Kitten;rare)
Burmese OR(Cat;Kitten;rare)
Chartreux OR(Cat;Kitten;rare)
Cornish Rex OR(Cat;Kitten;rare)
Devon Rex OR(Cat;Kitten;rare)
Egyptian Mau OR(Cat;Kitten;rare)
Exotic Shorthair OR(Cat;Kitten;rare)
Himalayan OR(Cat;Kitten;rare)
Japanese Bobtail OR(Cat;Kitten;rare)
Maine Coon OR(Cat;Kitten;rare)
Manx OR(Cat;Kitten;rare)
Norwegian Forest OR(Cat;Kitten;rare)
Oriental Shorthair OR(Cat;Kitten;rare)
Persian OR(Cat;Kitten;rare)
Ragdoll OR(Cat;Kitten;rare)
Russian Blue OR(Cat;Kitten;rare)
Scottish Fold OR(Cat;Kitten;rare)
Siamese OR(Cat;Kitten;rare)
Sphynx OR(Cat;Kitten;rare)
Tonkinese OR(Cat;Kitten;rare)
Turkish Angora OR(Cat;Kitten;rare)