#this file controls the generation process;
#records starting with # are ignored;
#----;
# main subject generation options;
# these can either be on or off;
#----;
# objects;
subject_object;on
subject_vehicle;on
subject_food;on
subject_space;on
subject_building;on
subject_flora;on
subject_occult;on
# animals;
subject_animal;on
subject_bird;on
subject_cat;on
subject_dog;on
subject_insect;on
subject_pokemon;on
subject_marinelife;on
# humanoids;
subject_manwoman;on
subject_manwomanrelation;on
subject_manwomanmultiple;on
subject_fictional;on
subject_nonfictional;on
subject_humanoid;on
subject_job;on
subject_firstnames;on
# landscape;
subject_location;on
subject_location_fantasy;on
subject_location_scifi;on
subject_location_videogame;on
subject_location_biome;on
subject_location_city;on
# concept;
subject_event;on
subject_concept;on
subject_poemline;on
subject_songline;on
subject_cardname;on
subject_episodetitle;on
subject_conceptmixer;on
#----;
# other main lists, in order of appearance;
# setting the random chance, for normal generation;
# these can be, in order of most appearing to least appearing;
# always, common, normal, uncommon, rare, legendary, unique, extraordinary, novel, never;
custominputprefixrepeats;2
custominputprefixchance;uncommon
imagetypechance;normal
imagetypequalitychance;rare
# some prefixes that happen rarely;
minilocationadditionchance;unique
artmovementprefixchance;unique
minivomitprefix1chance;rare
minivomitprefix2chance;unique
# shot size generation;
shotsizechance;uncommon
# subject specific stuff;
subjectdescriptor1chance;common
subjectdescriptor2chance;uncommon
subjectbodytypechance;normal
subjectculturechance;normal
subjectconceptsuffixchance;unique
# subjectlandscape specific stuff;
subjectlandscapeinsideshotchance;unique
subjectlandscapeaddonlocationchance;normal
subjectlandscapeaddonlocationdescriptorchance;rare
subjectlandscapeaddonlocationculturechance;rare
# all additions;
objectadditionsrepeats;2
objectadditionschance;uncommon
humanadditionchance;rare
overalladditionchance;extraordinary
# humanoid other stuff;
emojichance;legendary
buildfacechance;legendary
humanexpressionchance;rare
humanvomitchance;rare
joboractivitychance;normal
# things in the middle of the prompt;
custominputmidrepeats;2
custominputmidchance;uncommon
minivomitmidchance;unique
# humanoid main stuff;
outfitchance;normal
posechance;uncommon
hairchance;normal
accessorychance;normal
humanoidinsideshotchance;legendary
humanoidbackgroundchance;uncommon
# minilocation stuff;
landscapeminilocationchance;uncommon
generalminilocationchance;rare
# general stuff add the end of the prompt;
timperiodchance;normal
focuschance;normal
directionchance;normal
moodchance;normal
minivomitsuffixchance;unique
artmovementchance;normal
lightingchance;normal
photoadditionchance;common
lenschance;normal
colorschemechance;normal
vomit1chance;uncommon
vomit2chance;uncommon
greatworkchance;novel
poemlinechance;novel
songlinechance;novel
quality1chance;uncommon
quality2chance;uncommon
# custom style list (lora and tis);
customstyle1chance;uncommon
customstyle2chance;uncommon
# suffix custom list;
custominputsuffixrepeats;2
custominputsuffixchance;uncommon
# artists stuff;
artistsatbackchance;uncommon