OR(;, -heshe- is;uncommon) Walking
OR(;, -heshe- is;uncommon) Running
OR(;, -heshe- is;uncommon) Jumping
OR(;, -heshe- is;uncommon) Laying down
OR(;, -heshe- is;uncommon) Swimming
OR(;, -heshe- is;uncommon) Dancing
OR(;, -heshe- is;uncommon) Frolicking
OR(;, -heshe- is;uncommon) OR(Painting a painting;Drawing a drawing)
OR(;, -heshe- is;uncommon) Singing
OR(;, -heshe- is;uncommon) Writing
OR(;, -heshe- is;uncommon) Cooking
OR(;, -heshe- is;uncommon) Reading
OR(;, -heshe- is;uncommon) Hiking
OR(;, -heshe- is;uncommon) Camping
OR(;, -heshe- is;uncommon) Fishing
OR(;, -heshe- is;uncommon) Hunting
OR(;, -heshe- is;uncommon) Making photographs
OR(;, -heshe- is;uncommon) OR(Sculpting;Knitting;Sewing;Quilting;Woodworking;Blacksmithing;Metalworking;Pottery;Glassblowing)
OR(;, -heshe- is;uncommon) Playing video games
OR(;, -heshe- is;uncommon) Watching OR(movies;TV shows;cinema)
OR(;, -heshe- is;uncommon) Playing OR(board games;card games;chess;poker;trivia games;word games)
OR(;, -heshe- is;uncommon) Doing puzzles
OR(;, -heshe- is;uncommon) Collecting OR(stamps;coins;art;antiques)
OR(;, -heshe- is;uncommon) OR(Playing a musical instrument;Composing music;Producing music;DJing)
OR(;, -heshe- is;uncommon) Singing in a choir
OR(;, -heshe- is;uncommon) Playing in a OR(band;orchestra)
OR(;, -heshe- is;uncommon) OR(Blogging;Vlogging;Podcasting)
OR(;, -heshe- is;uncommon) Speaking in public
OR(;, -heshe- is doing;uncommon) OR(Stand-up;Improvisational) comedy
OR(;, -heshe- is;uncommon) OR(Acting in;Directing;Producing) a OR(play;movie;TV show)
OR(;, -heshe- is;uncommon) OR(Teaching;Coaching;Mentoring;Tutoring)
OR(;, -heshe- is;uncommon) OR(Fundraising;Campaigning for a cause;Activism;Participating in a protest)
OR(;, -heshe- is;uncommon) OR(Gardening;Landscaping)
OR(;, -heshe- is doing;uncommon) Home improvement
OR(;, -heshe- is;uncommon) Cleaning
OR(;, -heshe- is;uncommon) OR(Organizing;Planning events;Hosting parties)
OR(;, -heshe- is;uncommon) Attending OR(concerts;festivals;theater performances;movies;sports events)
OR(;, -heshe- is;uncommon) OR(Exercising;Going to the gym;Fitnessing)
OR(;, -heshe- is doing;uncommon) OR(Yoga;Pilates;Tai chi)
OR(;, -heshe- is;uncommon) Meditating
OR(;, -heshe- is;uncommon) OR(Scuba diving;Snorkeling;Kayaking;Canoeing;Rafting;Climbing;Bungee jumping;Skydiving;Paragliding;Hang gliding;Zip lining)
OR(;, -heshe- is;uncommon) OR(Traveling;Exploring new places)
OR(;, -heshe- is;uncommon) Playing OR(Tennis;Basketball;Soccer;Football;Golf;Baseball;Hockey;Icehockey;Volleyball;Beach Volleyball;Sports)
OR(;, -heshe- is;uncommon) OR(Boxing;Wrestling;Doing Martial Arts;Gymnastics;Cycling;Surfing;Skateboarding;Snowboarding;Skiing;Figure Skating;Rowing;Sailing;Cycling;Mountain biking)
OR(;, -heshe- is;uncommon) Diving
OR(;, -heshe- is;uncommon) Playing 
OR(;, -heshe- is;uncommon) Horse-back riding
OR(;, -heshe- is;uncommon) -animal--back riding
OR(;, -heshe- is;uncommon) having a tea party
OR(;, -heshe- is;uncommon) Lounging
OR(;, -heshe- is;uncommon) Bathing in a -waterlocation-
OR(;, -heshe- is;uncommon) drinking coffee in a cafe
OR(;, -heshe- is;uncommon) studying in a room
OR(;, -heshe- is;uncommon) doing a fashion show
OR(;, -heshe- is;uncommon) fighting a War
OR(;, -heshe- is;uncommon) sieging a Castle
OR(;, -heshe- is;uncommon) sitting and talking
OR(;, -heshe- is;uncommon) Walking up a stairs
OR(;, -heshe- is;uncommon) Walking down a stairs
OR(;, -heshe- is;uncommon) Walking down a OR(street;-minilocation-)
OR(;, -heshe- is;uncommon) casting a -element- magic spell