character;gender
Tom Hanks;male
Leonardo DiCaprio;male
Robert De Niro;male
Al Pacino;male
Marlon Brando;male
Morgan Freeman;male
Denzel Washington;male
Samuel L. Jackson;male
Anthony Hopkins;male
Sean Connery;male
Clint Eastwood;male
Harrison Ford;male
Johnny Depp;male
Brad Pitt;male
George Clooney;male
Matt Damon;male
Will Smith;male
Mark Wahlberg;male
Christian Bale;male
Tom Cruise;male
Daniel Day-Lewis;male
Robin Williams;male
Jim Carrey;male
Eddie Murphy;male
Bill Murray;male
Michael Keaton;male
Steve Martin;male
John Travolta;male
Kevin Costner;male
Mel Gibson;male
Ben Affleck;male
Hugh Jackman;male
Chris Hemsworth;male
Ryan Reynolds;male
Chris Evans;male
Robert Downey Jr.;male
Nicolas Cage;male
Keanu Reeves;male
Pierce Brosnan;male
Colin Firth;male
Sean Bean;male
Tim Robbins;male
Gary Oldman;male
Sean Penn;male
Laurence Fishburne;male
Jamie Foxx;male
Hugh Grant;male
Jude Law;male
Matthew McConaughey;male
Liam Neeson;male
Joaquin Phoenix;male
Eddie Redmayne;male
Adam Sandler;male
Will Ferrell;male
Ben Stiller;male
Owen Wilson;male
Jason Bateman;male
Seth Rogen;male
Zac Efron;male
John Goodman;male
Jeff Goldblum;male
Robin Wright;female
Mark Ruffalo;male
Tom Hardy;male
Jake Gyllenhaal;male
Joseph Gordon-Levitt;male
Ryan Gosling;male
Robert Pattinson;male
Orlando Bloom;male
Channing Tatum;male
Shia LaBeouf;male
Michael Fassbender;male
Jeremy Renner;male
Chris Pine;male
Armie Hammer;male
Ashton Kutcher;male
Timothy Olyphant;male
Terrence Howard;male
Michael B. Jordan;male
Rami Malek;male
Henry Cavill;male
Idris Elba;male
Tom Holland;male
Taron Egerton;male
Richard Gere;male
Hugh Laurie;male
Benedict Cumberbatch;male
David Tennant;male
Matt Smith;male
Peter Capaldi;male
Christopher Eccleston;male
Jon Hamm;male
Bryan Cranston;male
Aaron Paul;male
Paul Rudd;male
Adam Driver;male
Daniel Radcliffe;male
Meryl Streep;female
Julia Roberts;female
Angelina Jolie;female
Cate Blanchett;female
Nicole Kidman;female
Emma Watson;female
Scarlett Johansson;female
Charlize Theron;female
Sandra Bullock;female
Jennifer Aniston;female
Jennifer Lawrence;female
Reese Witherspoon;female
Kate Winslet;female
Anne Hathaway;female
Natalie Portman;female
Mila Kunis;female
Emma Stone;female
Anya Taylor-Joy;female
Keira Knightley;female
Julianne Moore;female
Viola Davis;female
Brie Larson;female
Helen Mirren;female
Amy Adams;female
Michelle Pfeiffer;female
Sigourney Weaver;female
Rachel McAdams;female
Tilda Swinton;female
Zoe Saldana;female
Octavia Spencer;female
Salma Hayek;female
Lupita Nyong'o;female
Uma Thurman;female
Halle Berry;female
Catherine Zeta-Jones;female
Diane Keaton;female
Shirley MacLaine;female
Judi Dench;female
Maggie Smith;female
Maggie Gyllenhaal;female
Rachel Weisz;female
Naomi Watts;female
Liv Tyler;female
Michelle Rodriguez;female
Emma Thompson;female
Kirsten Dunst;female
Thandie Newton;female
Mira Sorvino;female
Jessica Chastain;female
Bette Davis;female
Joan Crawford;female
Grace Kelly;female
Audrey Hepburn;female
Elizabeth Taylor;female
Marilyn Monroe;female
Marlene Dietrich;female
Greta Garbo;female
Judy Garland;female
Ginger Rogers;female
Emilia Clarke;female
Bryce Dallas Howard;female
Mae West;female
Katharine Hepburn;female
Vivien Leigh;female
Ingrid Bergman;female
Jane Fonda;female
Faye Dunaway;female
Diana Ross;female
Liza Minnelli;female
Glenn Close;female
Annette Bening;female
Laura Linney;female
Frances McDormand;female
Toni Collette;female
Sandra Oh;female
Gong Li;female
Michelle Yeoh;female
Fan Bingbing;female
Zhang Ziyi;female
Zhao Wei;female
Brigitte Lin;female
Isabelle Huppert;female
Juliette Binoche;female
Catherine Deneuve;female
Isabelle Adjani;female
Emmanuelle Béart;female
Monica Bellucci;female
Marion Cotillard;female
Audrey Tautou;female
Bérénice Bejo;female
Ludivine Sagnier;female
Mélanie Laurent;female
Carole Bouquet;female
Sophie Marceau;female
Eva Green;female
Charlotte Gainsbourg;female
Léa Seydoux;female
Isabelle Fuhrman;female
Tilda Cobham-Hervey;female
Elle Fanning;female
Margot Robbie;female
Saoirse Ronan;female
Gisele Bündchen;female
Kate Moss;female
Naomi Campbell;female
Cindy Crawford;female
Heidi Klum;female
Tyra Banks;female
Christy Turlington;female
Adriana Lima;female
Claudia Schiffer;female
Karlie Kloss;female
Bella Hadid;female
Gigi Hadid;female
Kendall Jenner;female
Iman;female
Joan Smalls;female
Linda Evangelista;female
Natalia Vodianova;female
Doutzen Kroes;female
Cara Delevingne;female
Jourdan Dunn;female
Chanel Iman;female
Alessandra Ambrosio;female
Karolina Kurkova;female
Amber Valletta;female
Irina Shayk;female
Elvis Presley;male
Michael Jackson;male
Frank Sinatra;male
Freddie Mercury;male
Stevie Wonder;male
Paul McCartney;male
John Lennon;male
David Bowie;male
Prince;male
Bob Dylan;male
Marvin Gaye;male
Bruce Springsteen;male
Elton John;male
Mick Jagger;male
Ray Charles;male
James Brown;male
Bono;male
Phil Collins;male
Eric Clapton;male
Johnny Cash;male
George Michael;male
Justin Timberlake;male
Bruno Mars;male
Chris Martin;male
Ed Sheeran;male
Harry Styles;male
Shawn Mendes;male
Adam Levine;male
Robbie Williams;male
Enrique Iglesias;male
Usher;male
Justin Bieber;male
Drake;male
The Weeknd;male
Lionel Richie;male
Rod Stewart;male
Billy Joel;male
Jon Bon Jovi;male
Steven Tyler;male
Ozzy Osbourne;male
Jim Morrison;male
Mick Hucknall;male
Tom Jones;male
Morrissey;male
Kurt Cobain;male
John Mayer;male
Sting;male
Tom Petty;male
Chris Cornell;male
Axl Rose;male
Beyoncé;female
Adele;female
Taylor Swift;female
Rihanna;female
Whitney Houston;female
Mariah Carey;female
Ariana Grande;female
Lady Gaga;female
Madonna;female
Katy Perry;female
Jennifer Lopez;female
Pink;female
Shakira;female
Celine Dion;female
Christina Aguilera;female
Dua Lipa;female
Selena Gomez;female
Billie Eilish;female
Janet Jackson;female
Demi Lovato;female
Sia;female
Kelly Clarkson;female
Amy Winehouse;female
Alicia Keys;female
Barbra Streisand;female
Gwen Stefani;female
Britney Spears;female
Mary J. Blige;female
Carrie Underwood;female
Miley Cyrus;female
Ari Lennox;female
Lizzo;female
Florence Welch;female
H.E.R.;female
Janelle Monae;female
Kacey Musgraves;female
Lorde;female
Sade;female
Stevie Nicks;female
Tinashe;female
Tori Kelly;female
Vanessa Carlton;female
Zara Larsson;female
Jessie J;female
Duffy;female
Norah Jones;female
Kehlani;female
Jorja Smith;female
Ella Mai;female
Joe Biden;male
Vladimir Putin;male
Xi Jinping;male
Angela Merkel;female
Emmanuel Macron;male
Justin Trudeau;male
Boris Johnson;male
Narendra Modi;male
Hassan Rouhani;male
Benjamin Netanyahu;male
Recep Tayyip Erdogan;male
Moon Jae-in;male
Jair Bolsonaro;male
Alberto Fernández;male
Andrés Manuel López Obrador;male
Scott Morrison;male
Jacinda Ardern;female
Tsai Ing-wen;female
Aung San Suu Kyi;female
Kim Jong-un;male
King Salman bin Abdulaziz Al Saud;male
Sheikh Hasina;female
Abdel Fattah el-Sisi;male
Bashar al-Assad;male
Hassan Diab;male
Pope Francis;male
Pope John Paul II;male
Pope Benedict XVI;male
Pope John XXIII;male
Pope Pius XII;male
Julius Caesar;male
Alexander the Great;male
Cleopatra;female
Joan of Arc;female
Leonardo da Vinci;male
Michelangelo;male
Galileo Galilei;male
William Shakespeare;male
Isaac Newton;male
George Washington;male
Napoleon Bonaparte;male
Abraham Lincoln;male
Charles Darwin;male
Queen Victoria;female
Mahatma Gandhi;male
Albert Einstein;male
Franklin D. Roosevelt;male
Winston Churchill;male
Joseph Stalin;male
Adolf Hitler;male
Martin Luther King Jr.;male
John F. Kennedy;male
Neil Armstrong;male
Mao Zedong;male
Che Guevara;male
Pablo Picasso;male
Ronald Reagan;male
Margaret Thatcher;female
Nelson Mandela;male
Mother Teresa;female
Princess Diana;female
Saddam Hussein;male
Osama bin Laden;male
Steve Jobs;male
Bill Gates;male
Barack Obama;male
Queen Elizabeth II;female
Elon Musk;male
Jeff Bezos;male
Mark Zuckerberg;male
Oprah Winfrey;female
Serena Williams;female
Usain Bolt;male
Michael Jordan;male
A.J. Cook;female
Abbie Cornish;female
Adrianne Palicki;female
Agam Darshi;female
Aimee Garcia;female
Aishwariya Rai;female
Alanna Ubach;female
Alexa PenaVega;female
Alexandra Daddario;female
Alexis Bledel;female
Ali Cobrin;female
Ali Larter;female
Alice Braga;female
Alice Eve;female
Alice Greczyn;female
Alicia Silverstone;female
Alicia Vikander;female
Alicia Witt;female
Alison Lohman;female
Alison Pill;female
Aly Michalka;female
Alyson Hannigan;female
Alyssa Milano;female
Amanda Bynes;female
Amanda Peet;female
Amanda Seyfried;female
Amber Heard;female
Amrita Acharia;female
Amy Smart;female
Ana de la Reguera;female
Andie MacDowell;female
Andrea Navedo;female
Andrea Savage;female
Angela Trimbur;female
Anita Ekberg;female
Ann-Margret;female
Anna Chlumsky;female
Anna Faris;female
Anna Kendrick;female
Antoinette Kalaj;female
April Bowlby;female
April Hernandez Castillo;female
Ashley Greene;female
Ashley Judd;female
Ashley Olsen;female
Ashley Scott;female
Astrid Bergès-Frisbey;female
Aubrey Plaza;female
Ava Gardner;female
Bérénice Marlohe;female
Beverly D'Angelo;female
Bianca Kajlich;female
Blake Lively;female
Bo Derek;female
Bree Turner;female
Briana Evigan;female
Bridget Fonda;female
Bridgette Wilson-Sampras;female
Brigitte Bardot;female
Brittany Daniel;female
Brittany Murphy;female
Brittany Snow;female
Brooke Burns;female
Brooke D'Orsay;female
Brooke Shields;female
Brooklyn Decker;female
Cameron Diaz;female
Cameron Richardson;female
Camilla Belle;female
Candace Cameron Bure;female
Carey Mulligan;female
Carla Gallo;female
Carla Gugino;female
Carly Craig;female
Carmen Electra;female
Casey Wilson;female
Chandra West;female
Chloë Grace Moretz;female
Chloë Sevigny;female
Christian Serratos;female
Christina Applegate;female
Christina Ricci;female
Christine Lakin;female
Christine Taylor;female
Chyler Leigh;female
Claire Danes;female
Claire Forlani;female
Cobie Smulders;female
Cody Horn;female
Connie Nielsen;female
Courteney Cox;female
Courtney Thorne-Smith;female
Dakota Fanning;female
Dana Davis;female
Dania Ramirez;female
Danica McKellar;female
Daniela Bobadilla;female
Danielle Fishel;female
Danielle Harris;female
Danneel Ackles;female
Daryl Hannah;female
Deborah Ann Woll;female
Debra Messing;female
Demi Moore;female
Denise Richards;female
Diane Kruger;female
Diane Lane;female
Dianna Agron;female
Drea de Matteo;female
Drew Barrymore;female
Elena Anaya;female
Elisha Cuthbert;female
Eliza Coupe;female
Eliza Dushku;female
Elizabeth Banks;female
Elizabeth Berkley;female
Elizabeth Hurley;female
Elizabeth Olsen;female
Ellen Wong;female
Ellie Kemper;female
Elliot Page;female
Emily Blunt;female
Emily Browning;female
Emily Deschanel;female
Emma Greenwell;female
Emma Roberts;female
Emmanuelle Chriqui;female
Emmanuelle Vaugier;female
Emmy Rossum;female
Esmé Bianco;female
Estella Warren;female
Eva Longoria;female
Eva Mendes;female
Evan Rachel Wood;female
Frankie Shaw;female
Freida Pinto;female
Gabrielle Anwar;female
Gabrielle Union;female
Gal Gadot;female
Garcelle Beauvais;female
Gemma Arterton;female
Gemma Ward;female
Gene Tierney;female
Genesis Rodriguez;female
Genevieve Padalecki;female
Gina Gershon;female
Ginnifer Goodwin;female
Goldie Hawn;female
Gugu Mbatha-Raw;female
Gwyneth Paltrow;female
Hayden Panettiere;female
Heather Graham;female
Heather Locklear;female
Helena Bonham Carter;female
Helena Christensen;female
Helena Mattsson;female
Hilary Duff;female
Isla Fisher;female
Izabella Miko;female
Izabella Scorupco;female
Jada Pinkett Smith;female
Jaime King;female
Jaime Murray;female
Jaime Pressly;female
Jamie Chung;female
Jamie-Lynn Sigler;female
Janina Gavankar;female
January Jones;female
Jayne Mansfield;female
Jeanne Tripplehorn;female
Jenna Coleman;female
Jenna Elfman;female
Jenna Fischer;female
Jennie Garth;female
Jennifer Carpenter;female
Jennifer Connelly;female
Jennifer Esposito;female
Jennifer Garner;female
Jennifer Hudson;female
Jennifer Love Hewitt;female
Jennifer Morrison;female
Jennifer Taylor;female
Jenny McCarthy-Wahlberg;female
Jeri Ryan;female
Jessica Alba;female
Jessica Biel;female
Jessica Lange;female
Jessica Szohr;female
Joanne Whalley;female
Jodi Lyn O'Keefe;female
Jordan Ladd;female
Jordana Brewster;female
Jud Tylor;female
Julianna Guill;female
Julie Benz;female
Julie Bowen;female
Julie Christie;female
Juliette Lewis;female
K.D. Aubert;female
Kaitlin Doubleday;female
Kaley Cuoco;female
Kat Dennings;female
Kate Beckinsale;female
Kate Bosworth;female
Kate Hudson;female
Kate Mara;female
Katherine Heigl;female
Katherine LaNasa;female
Kathryn Hahn;female
Katie Cassidy;female
Katie Holmes;female
Katrina Bowden;female
Katy Mixon;female
Kelly Carlson;female
Kelly Hu;female
Kelly Stables;female
Keri Russell;female
Kerry Washington;female
Kim Basinger;female
Krista Allen;female
Kristen Bell;female
Kristen Stewart;female
Kristen Wiig;female
Kristin Chenoweth;female
Kristin Davis;female
Kristin Kreuk;female
Kristina Klebe;female
Kristy Swanson;female
Lacey Chabert;female
Lake Bell;female
Lalaine;female
Lara Flynn Boyle;female
Lark Voorhies;female
Laura Wiggins;female
Lauren Ambrose;female
Lauren Bacall;female
Lauren Holly;female
Lauren London;female
Lea Michele;female
Leah Remini;female
Leighton Meester;female
Lena Headey;female
Leslie Bibb;female
Leslie Mann;female
Li Gong;female
Lily Collins;female
Linda Cardellini;female
Lindsay Lohan;female
Lisa Bonet;female
Lizzy Caplan;female
Lucy Lawless;female
Lucy Liu;female
Lynda Carter;female
Lyndsy Fonseca;female
Madeleine Stowe;female
Madison Riley;female
Mae Whitman;female
Maggie Q;female
Mahaley Patel;female
Majandra Delfino;female
Malin Akerman;female
Maria Bello;female
Maria Grazia Cucinotta;female
Maria Thayer;female
Marin Hinkle;female
Marisa Coughlan;female
Marisa Tomei;female
Marley Shelton;female
Marsha Thomason;female
Mary Elizabeth Winstead;female
Mary McCormack;female
Mary-Kate Olsen;female
Mary-Louise Parker;female
Meg Ryan;female
Megan Fox;female
Megyn Price;female
Melanie Lynskey;female
Melissa George;female
Melissa Sagemiller;female
Melora Hardin;female
Mena Suvari;female
Mia Wasikowska;female
Michelle Borth;female
Michelle Burke;female
Michelle Monaghan;female
Michelle Trachtenberg;female
Michelle Williams;female
Milla Jovovich;female
Ming-Na Wen;female
Mini Anden;female
Minka Kelly;female
Molly Ringwald;female
Molly Sims;female
Moon Bloodgood;female
Natalia Tena;female
Natalie Dormer;female
Natasha Henstridge;female
Nathalie Kelley;female
Neve Campbell;female
Nicky Whelan;female
Nicole Ari Parker;female
Nicole Eggert;female
Nikki Reed;female
Nina Dobrev;female
Noureen DeWulf;female
Odette Annable;female
Olga Kurylenko;female
Olivia Thirlby;female
Olivia Wilde;female
Paget Brewster;female
Pamela Anderson;female
Parker Posey;female
Patricia Arquette;female
Paula Garcés;female
Paula Patton;female
Paz Vega;female
Penelope Cruz;female
Penélope Cruz;female
Phoebe Cates;female
Piper Perabo;female
Qi Shu;female
Rachael Leigh Cook;female
Rachel Bilson;female
Rachel Nichols;female
Rachel Specter;female
Rachel True;female
Raquel Welch;female
Rashida Jones;female
Rebecca Hall;female
Rebecca Romijn;female
Regina Hall;female
Renée Zellweger;female
Rhona Mitra;female
Rita Hayworth;female
Robin Tunney;female
Rochelle Aytes;female
Rooney Mara;female
Rosario Dawson;female
Rose Byrne;female
Rose McGowan;female
Roselyn Sanchez;female
Rumer Willis;female
Saffron Burrows;female
Samantha Mathis;female
Sara Paxton;female
Sarah Chalke;female
Sarah Hyland;female
Sarah Lancaster;female
Sarah Michelle Gellar;female
Sarah Roemer;female
Sarah Shahi;female
Sarah Silverman;female
Sasha Alexander;female
Scout Taylor-Compton;female
Selma Blair;female
Seychelle Gabriel;female
Shailene Woodley;female
Shannon Elizabeth;female
Shannyn Sossamon;female
Shanola Hampton;female
Sharon Stone;female
Shawnee Smith;female
Sheri Moon Zombie;female
Shu Qi;female
Sienna Miller;female
Sofia Vergara;female
Sofía Vergara;female
Sophia Loren;female
Sophie Winkleman;female
Stacey Dash;female
Stella Maeve;female
Stephanie Fantauzzi;female
Stephanie Szostak;female
Susan Ward;female
Sydney Tamiia Poitier;female
Tara Reid;female
Teresa Palmer;female
Teri Polo;female
Thandiwe Newton;female
Thora Birch;female
Tia Carrere;female
Tiffani Thiessen;female
Traci Bingham;female
Tracie Thoms;female
Ursula Andress;female
Vanessa Angel;female
Vanessa Ferlito;female
Vanessa Hudgens;female
Vanessa Lengies;female
Vanessa Williams;female
Vera Farmiga;female
Veronica Lake;female
Vinessa Shaw;female
Vivica A. Fox;female
Winona Ryder;female
Yvonne De Carlo;female
Yvonne Strahovski;female
Ziyi Zhang;female
Zooey Deschanel;female
Zoë Bell;female
Zoë Kravitz;female
Zulay Henao;female
Arnold Schwarzenegger;male
Bruce Willis;male
Chris Pratt;male
Daniel Craig;male
David Duchovny;male
Dustin Hoffman;male
Dwayne Johnson;male
Emile Hirsch;male
Erik Per Sullivan;male
Gerald Butler;male
Grant Gustin;male
Ian Somerhalder;male
Jack Nicholson;male
Jackie Chan;male
Jason Momoa;male
Jimmy Fallon;male
John Boyega;male
John Cusack;male
Johnny Depp;male
Josh Brolin;male
Kevin Hart;male
Kit Harington;male
Michael Douglas;male
Michael J. Fox;male
Michael Sheen;male
Michael Weatherly;male
Mike Myers;male
Nathan Fillion;male
Nathan Lane;male
Paul Walker;male
Ray Romano;male
Russell Crowe;male
Scott Speedman;male
Sebastian Stan;male
Shah Rukh Khan;male
Stephen Amell;male
Taylor Lautner;male
Timothée Chalamet;male
Toby Kebbell;male
Tom Hiddleston;male
Tommy Lee Jones;male
Tony Goldwyn;male
Tyler Hoechlin;male
Vince Vaughn;male
Addison Rae;female
Adèle Exarchopoulos;female
Aimee Lou Wood;female
AJ Lee;female
Alanna Masterson;female
Alejandra Guilmant;female
Alex Morgan;female
Alexa Bliss;female
Alexis Ren;female
Alica Schmidt;female
Alison Brie;female
Allison Stokke;female
Allison Williams;female
Aly Raisman;female
Alycia Debnam-Carey;female
Amanda Cerny;female
Ana de Armas;female
Angela Kinsey;female
Angela Sarafyan;female
Anitta;female
Anna Akana;female
Anna Kournikova;female
Anna Paquin;female
AnnaSophia Robb;female
Anya Chalotra;female
Ariel Winter;female
Ashley Benson;female
Ashley Graham;female
Ashley Park;female
Ashley Tisdale;female
Auli’i Cravalho;female
Avril Lavigne;female
Awkwafina;female
Bailee Madison;female
Bar Refaeli;female
Barbara Palvin;female
Bebe Rexha;female
Becky G;female
Becky Lynch;female
Bella Thorne;female
Beth Behrs;female
Betty Gilpin;female
Bonnie Wright;female
Brenda Song;female
Brianna Hildebrand;female
Brie Bella;female
Brighton Sharbino;female
Caity Lotz;female
Camila Cabello;female
Camila Mendes;female
Camilla Luddington;female
Candice Swanepoel;female
Cardi B;female
Carice van Houten;female
Carly Rae Jepsen;female
Caroline Vreeland;female
Caylee Cowan;female
Charisma Carpenter;female
Charli D’Amelio;female
Charli XCX;female
Charlotte Flair;female
Charlotte McKinney;female
Chelsea Handler;female
Chloe Bennet;female
Chloe Kim;female
Chrissy Teigen;female
Christen Harper;female
Christina Hendricks;female
CJ Perry;female
Cristin Milioti;female
Daisy Edgar-Jones;female
Daisy Ridley;female
Dakota Johnson;female
Danielle Panabaker;female
Debby Ryan;female
Demi Rose;female
Diana Silvers;female
Diane Guerrero;female
Diora Baird;female
Disha Patani;female
Dixie D’Amelio;female
Doja Cat;female
Dominique McElligott;female
Dove Cameron;female
Eiza González;female
Eleanor Tomlinson;female
Elisabeth Shue;female
Elizabeth Debicki;female
Elizabeth Gillies;female
Elizabeth Turner;female
Ellie Goulding;female
Elsa Hosk;female
Elsa Pataky;female
Elsie Hewitt;female
Emily Bett Rickards;female
Emily Kinney;female
Emily Osment;female
Emily Ratajkowski;female
Emily VanCamp;female
Emma Kenney;female
Emma Mackey;female
Emma Raducanu;female
Erin Moriarty;female
Eugenie Bouchard;female
Eva Amurri;female
Evangeline Lilly;female
Felicity Jones;female
Florence Pugh;female
Freya Allan;female
Giada De Laurentiis;female
Gillian Anderson;female
Gillian Jacobs;female
Gina Carano;female
Hailee Steinfeld;female
Hailey Bieber;female
Halsey;female
Hannah Simone;female
Hayley Atwell;female
Helene Fischer;female
Holly Willoughby;female
HoYeon Jung;female
Hunter King;female
Hunter Schafer;female
Iggy Azalea;female
Ilana Glazer;female
Iliza Shlesinger;female
Imogen Poots;female
Ireland Baldwin;female
Iris Apatow;female
Isabela Merced;female
Isidora Goreshter;female
Jackie Cruz;female
Jaimie Alexander;female
Jamie Lee Curtis;female
Jane Levy;female
Jenna Dewan;female
Jennette McCurdy;female
Jennifer Holland;female
Jenny Slate;female
Jessica Parker Kennedy;female
Jessica Paré;female
Jessica Simpson;female
Jewel Staite;female
Jodie Comer;female
Joey King;female
JoJo;female
Jordyn Huitema;female
Jordyn Jones;female
Josephine Skriver;female
Judy Greer;female
Julia Fox;female
Julia Garner;female
Julianne Hough;female
Juno Temple;female
Jutta Leerdam;female
Kaia Gerber;female
Kaitlyn Dever;female
Karen Fukuhara;female
Karen Gillan;female
Kate Upton;female
Katelyn Nacon;female
Katelyn Ohashi;female
Katherine Langford;female
Katherine McNamara;female
Katherine Waterston;female
Katheryn Winnick;female
Kaya Scodelario;female
Kelly Brook;female
Kelly Rohrbach;female
Kesha;female
Khloé Kardashian;female
Kiernan Shipka;female
Kim Kardashian;female
Kimberley Garner;female
Kimiko Glenn;female
Kira Kosarin;female
Kourtney Kardashian;female
Krysten Ritter;female
Kylie Jenner;female
Kylie Minogue;female
Lais Ribeiro;female
Lana Del Rey;female
Larsen Thompson;female
Laura Harrier;female
Laura Prepon;female
Lauren Cohan;female
Lea Seydoux;female
Leelee Sobieski;female
Leila Lowfire;female
Lena Gercke;female
Lena Meyer-Landrut;female
Lili Reinhart;female
Lili Simmons;female
Lily Chee;female
Lily James;female
Lily Sheen;female
Lily-Rose Depp;female
Lindsey Pelas;female
Lindsey Vonn;female
Lisa Kudrow;female
Lucy Hale;female
Lucy Pinder;female
Lupita Nyong’o;female
Mackenzie Davis;female
Mackenzie Foy;female
Mackenzie Ziegler;female
Maddie Ziegler;female
Madelaine Petsch;female
Madison Beer;female
Madison Pettis;female
Madisyn Shipman;female
Maggie Grace;female
Maia Mitchell;female
Maisie Williams;female
Malin Åkerman;female
Mandy Moore;female
Margaret Qualley;female
Maria Bakalova;female
Maria Menounos;female
Maria Sharapova;female
Maryse;female
María Pedraza;female
Maude Apatow;female
Maya Hawke;female
McKayla Maroney;female
Meagan Good;female
Megan Thee Stallion;female
Meghan Markle;female
Melissa Benoist;female
Melissa Fumero;female
Melissa Rauch;female
Michelle Jenneke;female
Miesha Tate;female
Milana Vayntrub;female
Millie Bobby Brown;female
Miranda Cosgrove;female
Miranda Kerr;female
Morena Baccarin;female
Naomi Scott;female
Natalia Dyer;female
Natalie Alyn Lind;female
Natasha Lyonne;female
Nathalie Emmanuel;female
Nicki Minaj;female
Nicole Scherzinger;female
Nikki Bella;female
Nikki Glaser;female
Nina Agdal;female
Normani;female
Olivia Culpo;female
Olivia Munn;female
Olivia Rodrigo;female
Olivia Taylor Dudley;female
Padma Lakshmi;female
Paige;female
Paige Spiranac;female
Paige VanZant;female
Palina Rojinski;female
Paris Hilton;female
Paulina Gaitán;female
Peyton List;female
Phoebe Tonkin;female
Pokimane;female
Pom Klementieff;female
Priyanka Chopra;female
Rachel Brosnahan;female
Rachel Cook;female
Rachel Zegler;female
Rebecca Black;female
Rebecca Ferguson;female
Rhea Seehorn;female
Rita Ora;female
Ronda Rousey;female
Ronja Forcher;female
Rosamund Pike;female
Rose Leslie;female
Rose McIver;female
Rosie Huntington-Whiteley;female
Ruby O. Fee;female
Ruby Rose;female
Sabrina Carpenter;female
Sadie Sink;female
Samara Weaving;female
Sammi Hanratty;female
Sara Sampaio;female
Sara Underwood;female
Sarah McDaniel;female
Sarah Paulson;female
Sasha Banks;female
Saweetie;female
Shantel VanSanten;female
Simone Biles;female
Sophia Lillis;female
Sophia Thomalla;female
Sophie Turner;female
Stacy Keibler;female
Stephanie Beatriz;female
Stephanie McMahon;female
Susan Sarandon;female
Sydney Sweeney;female
Taylor Hill;female
Taylor Schilling;female
Tessa Thompson;female
Thomasin McKenzie;female
Tina Fey;female
Torrie Wilson;female
Tove Lo;female
Ursula Corberó;female
Vanessa Kirby;female
Vica Kerekes;female
Victoria De Angelis;female
Victoria Justice;female
Whitney Cummings;female
Willa Fitzgerald;female
Willa Holland;female
Yanet Garcia;female
Zazie Beetz;female
Zendaya;female
Zoey Deutch;female